,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2016  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
3557,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3558,70131049,غيرها من قناني العطور ( للزينة ),دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,OTHERS PERFUME BOTTLES  ( TNEMMRODA ROF ),70131049,
3559,70131049,غيرها من قناني العطور ( للزينة ), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHERS PERFUME BOTTLES  ( TNEMMRODA ROF ),70131049,
3560,70131090,غيرها من اصناف من زجاج خزفى,دول مجلس التعاون الخليجي,0,1,3,0,0,1,0,2,5,Gulf Cooperation Council,OTHER ARTICLES OF GLASS-CERAMICS,70131090,
3561,70131090,غيرها من اصناف من زجاج خزفى,دول الجامعة العربية الاخرى,0,1,1,0,0,0,0,1,1,Other Arab League Countries,OTHER ARTICLES OF GLASS-CERAMICS,70131090,
3562,70131090,غيرها من اصناف من زجاج خزفى, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER ARTICLES OF GLASS-CERAMICS,70131090,
3563,70134900,غيرها من أدوات زجاجية للمائدة (عدا كؤوس الشرب) أو للمطبخ,دول مجلس التعاون الخليجي,0,1,1,0,0,0,0,1,1,Gulf Cooperation Council, Other Glassware of a kind used for table (other than drinking gl,70134900,
3564,70134900,غيرها من أدوات زجاجية للمائدة (عدا كؤوس الشرب) أو للمطبخ,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries, Other Glassware of a kind used for table (other than drinking gl,70134900,
3565,70134900,غيرها من أدوات زجاجية للمائدة (عدا كؤوس الشرب) أو للمطبخ, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups, Other Glassware of a kind used for table (other than drinking gl,70134900,
3566,70139131,قناني العطور ( للزينة),دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,PERFUME BOTTLES  (TNEMMRODA ROF),70139131,
3567,70139131,قناني العطور ( للزينة),دول الجامعة العربية الاخرى,0,0,1,0,1,1,0,1,1,Other Arab League Countries,PERFUME BOTTLES  (TNEMMRODA ROF),70139131,
3568,70139131,قناني العطور ( للزينة), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,PERFUME BOTTLES  (TNEMMRODA ROF),70139131,
3569,70139139,غيرها من قنا ني العطور والزينة,دول الجامعة العربية الاخرى,0,1,1,0,0,0,0,1,1,Other Arab League Countries,OTHER PERFFUME BOTTLES FOR TOILET,70139139,
3570,70139139,غيرها من قنا ني العطور والزينة,دول اسلامية عدا العربية,0,0,0,0,0,1,0,0,1,Islamic not Arabic countries,OTHER PERFFUME BOTTLES FOR TOILET,70139139,
3571,70139139,غيرها من قنا ني العطور والزينة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER PERFFUME BOTTLES FOR TOILET,70139139,
3572,70139190,غيرها من اصناف من كريستال رصاصى,دول الجامعة العربية الاخرى,0,4,6,0,0,0,0,4,6,Other Arab League Countries,OTHER ARTICLES OF LEAD CRYSTAL,70139190,
3573,70139190,غيرها من اصناف من كريستال رصاصى, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER ARTICLES OF LEAD CRYSTAL,70139190,
3574,70139990,غيرها من أدوات أُخر من زجاج,دول مجلس التعاون الخليجي,0,0,4,0,0,0,0,0,4,Gulf Cooperation Council,OTHERS GLASSWARE,70139990,
3575,70139990,غيرها من أدوات أُخر من زجاج, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHERS GLASSWARE,70139990,
3576,70182000,كريات زجاجيه دقيقه لايتجاوز قطرها 1 ملم,دول مجلس التعاون الخليجي,0,0,1,0,0,1,0,0,2,Gulf Cooperation Council,GLASS MICROSPHERES NOT EXCEEDING 1 MM,70182000,
3577,70182000,كريات زجاجيه دقيقه لايتجاوز قطرها 1 ملم, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,GLASS MICROSPHERES NOT EXCEEDING 1 MM,70182000,
3578,70191200,اليفاف ممشطة (فتائل ),دول مجلس التعاون الخليجي,0,0,1,0,1,4,0,1,5,Gulf Cooperation Council,THRUMS,70191200,
3579,70191200,اليفاف ممشطة (فتائل ),دول اسلامية عدا العربية,0,0,2,0,0,0,0,0,2,Islamic not Arabic countries,THRUMS,70191200,
3580,70191200,اليفاف ممشطة (فتائل ),دول اسيوية عدا العربية والاسلامية,0,2,3,0,0,0,0,2,3,"Asian not Arabic ,not Islamic",THRUMS,70191200,
3581,70191200,اليفاف ممشطة (فتائل ),دول الاتحاد الأوروبي,0,1,3,0,0,0,0,1,3,European Union,THRUMS,70191200,
3582,70191200,اليفاف ممشطة (فتائل ), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,THRUMS,70191200,
3583,70191900,غيرهامن خصل ألياف ممشطة فتائل خيوطجدائل,دول مجلس التعاون الخليجي,0,0,0,0,0,0,0,0,1,Gulf Cooperation Council,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900,
3584,70191900,غيرهامن خصل ألياف ممشطة فتائل خيوطجدائل,دول اسلامية عدا العربية,0,4,18,0,0,0,0,4,18,Islamic not Arabic countries,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900,
3585,70191900,غيرهامن خصل ألياف ممشطة فتائل خيوطجدائل,دول اسيوية عدا العربية والاسلامية,0,1,1,0,0,0,0,1,1,"Asian not Arabic ,not Islamic","OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900,
3586,70191900,غيرهامن خصل ألياف ممشطة فتائل خيوطجدائل, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,1,Other Country Groups,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900,
3587,70193100,حصر من الياف زجاجيه,دول مجلس التعاون الخليجي,0,0,0,0,0,0,0,0,1,Gulf Cooperation Council,MATS OF GLASS FIBERS,70193100,
3588,70193100,حصر من الياف زجاجيه,دول الاتحاد الأوروبي,0,1,3,0,0,0,0,1,3,European Union,MATS OF GLASS FIBERS,70193100,
3589,70193100,حصر من الياف زجاجيه, مجموعات دول أخرى ,0,0,1,0,0,0,0,0,1,Other Country Groups,MATS OF GLASS FIBERS,70193100,
3590,70193900,غيرها من حشيات (مراتب)ـ  غير نسجيه،..الخ، من الياف زجاجيه,دول مجلس التعاون الخليجي,0,0,1,0,0,1,0,0,1,Gulf Cooperation Council,"OTHER NONWOVEN MATTRESSES, ETC., OF GLASS FIBERS",70193900,
