,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,R
0,,,,Exports According to commodities,,,,,,,,,,,
1,,الوزن طن,القيمة بالالف ريال,عام  2013  Year,,,,,,,,,Weight Tons,Value  (000 S R),
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,
7010,84189990,غيرها من اجزاء لاجهزه التبريد,مجموعات دول آخرى,0,0,0,0,2,140,0,2,140,Other Country Groups,OTHER PARTS FOR REFRIGERATION EQUIPMENT,84189990
7011,84191990,غيرها من مسخنات الماء غير كهربائيه,مجموعات دول آخرى,0,0,0,0,69,122,0,69,122,Other Country Groups,OTHER WATER HEATERS,84191990
7012,84192000,معقمات طبيه او جراحيه ، او مخبريه,مجموعات دول آخرى,0,9,47,0,4,420,0,13,467,Other Country Groups,"MEDICAL, SURGICAL OR LABORATORY STERILIZERS",84192000
7013,84195000,وحدات تبادل حرارى,مجموعات دول آخرى,0,0,0,0,7,279,0,7,279,Other Country Groups,HEAT EXCHANGE UNITS,84195000
7014,84198900,غيرها من الات لتدفئه او تسخين المواد,مجموعات دول آخرى,0,12,122,0,6,180,0,18,302,Other Country Groups,OTHER MACHINERY FOR HEATING MATERIALS,84198900
7015,84199000,اجزاء الات وتجهيزات المختبرات واجهزه معالجه المواد,مجموعات دول آخرى,0,6,122,0,3,116,0,10,237,Other Country Groups,PARTS FOR MACHINERY THAT HEATS MATERIALS,84199000
7016,84209100,اسطوانات لالات الصقل والترقيق,مجموعات دول آخرى,0,0,0,0,3,37,0,3,37,Other Country Groups,CYLINDERS FOR ROLLING MACHINES,84209100
7017,84209900,غيرها من اجزاء لالات الصقل والترقيق,مجموعات دول آخرى,0,1,12,0,1,5,0,2,16,Other Country Groups,OTHER PARTS FOR ROLLING MACHINES,84209900
7018,84211900,غيرها من اجهزه طرد مركزى,مجموعات دول آخرى,0,0,0,0,1,45,0,1,45,Other Country Groups,OTHER CENTRIFUGES,84211900
7019,84212190,غيرها من اجهزه ترشيح المياه,مجموعات دول آخرى,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER WATER FILTERING MACHINERY,84212190
7020,84212300,اجهزه لترشيح الزيوت او البنزين لمحركات الاحتراق الداخلى,مجموعات دول آخرى,0,0,0,0,2,11,0,2,11,Other Country Groups,OIL OR PETROL-FILTERS FOR INTERNAL COMBUSTION ENGINES,84212300
7021,84212910,مرشحات لتنقية الدم,مجموعات دول آخرى,0,0,0,0,3,395,0,3,395,Other Country Groups,FILTERS FOR BLOOD PURIFICATIM .,84212910
7022,84212990,غيرها من اجهزه طرد مركزى واجهزة ترشيح وتنقية السوائل,مجموعات دول آخرى,0,21,271,0,32,35,0,53,306,Other Country Groups,"OTHER CENTRIFUGES, FOR LIQUIDS.",84212990
7023,84213100,مرشحات الهواء الداخل لمحركات الاحتراق الداخلى,مجموعات دول آخرى,0,0,6,0,7,206,0,7,212,Other Country Groups,INTAKE AIR FILTERS FOR INTERNAL COMBUSTION ENGINES,84213100
7024,84213900,غيرها من اجهزه ترشيح الغازات,مجموعات دول آخرى,0,7,67,0,15,452,0,22,518,Other Country Groups,OTHER GAS-FILTERING MACHINERY,84213900
7025,84219900,غيرها من اجزاء لاجهزه الترشيح,مجموعات دول آخرى,0,0,0,0,1,13,0,1,13,Other Country Groups,PARTS OF FILTERING MACHINERY,84219900
7026,84221100,اجهزه لغسل الاوانى والاطباق من نوع معد للاستعمال المنزلى,مجموعات دول آخرى,0,0,0,0,284,711,0,284,711,Other Country Groups,HOUSEHOLD TYPE DISH WASHERS,84221100
7027,84221900,غيرها من اجهزه لغسل الاوانى والاطباق,مجموعات دول آخرى,0,0,0,0,76,362,0,76,362,Other Country Groups,OTHER DISH WASHERS,84221900
7028,84223010,اجهزه للتعبئه اوللسداوللصق الرقاع على العلب ومايماثلها,مجموعات دول آخرى,0,0,0,0,10,13,0,10,13,Other Country Groups,"MACHINERY FOR FILLING, CLOSING, ETC., CONTAINERS",84223010
7029,84224000,الات واجهزه اخر لتعبئه او رزم البضائع,مجموعات دول آخرى,0,0,0,0,0,11,0,0,11,Other Country Groups,OTHER PACKING OR WRAPPING MACHINERY,84224000
7030,84229000,اجزاء لاجهزه غسل الاوانى والات واجهزه التعبئه ومايماثلها,مجموعات دول آخرى,0,0,0,0,2,129,0,2,129,Other Country Groups,"PARTS FOR DISH WASHERS, PACKING MACHINERY AND THE LIKE",84229000
7031,84241000,اجهزه اطفاء الحرائق وان كانت معباه,مجموعات دول آخرى,0,0,0,0,5,14,0,5,14,Other Country Groups,FIRE EXTINGUISHERS,84241000
7032,84242090,غيرها من اجهزه رش، واجهزه مماثله,مجموعات دول آخرى,0,0,31,0,4,78,0,5,108,Other Country Groups,OTHER SPRAYING APPLIANCES,84242090
7033,84248110,انظمه الرى الكامله بجميع انواعها للزراعه اوالبستنه,دول اوروبا عدا دول الاتحاد الأوروبي,0,88,1240,0,0,0,0,88,1240,Europe not European Union,COMPLETE IRRIGATION SYSTEMS OF ALL KINDS,84248110
7034,84248110,انظمه الرى الكامله بجميع انواعها للزراعه اوالبستنه,مجموعات دول آخرى,0,19,199,0,0,0,0,19,199,Other Country Groups,COMPLETE IRRIGATION SYSTEMS OF ALL KINDS,84248110
7035,84248120,اجهزه رش، المبيدات الحشريه,مجموعات دول آخرى,0,0,0,0,2,29,0,2,29,Other Country Groups,INSECTICIDE SPRAYING APPLIANCES,84248120
7036,84249020,أجزاء لأنظمة الري الكاملة بجميع أنواعها,مجموعات دول آخرى,0,53,572,0,7,110,0,60,682,Other Country Groups,PARTS OF COMPLETE IRRIGATION SYSTEMS OF ALL KINDS,84249020
7037,84249090,"غيره من أجزاءالأجهزه الآليه لرش ونثرونفث السوائل ,المساحيق",مجموعات دول آخرى,0,7,62,0,22,750,0,29,813,Other Country Groups,"OTHER PARTS OF MECHANICAL APPLIANCES FOR PRAJEEDING ,",84249090
7038,84251900,غيرها من روافع ذات بكرات,مجموعات دول آخرى,0,0,0,0,1,44,0,1,44,Other Country Groups,OTHER TACKLE AND HOISTS FOR RAISING VEHICLES,84251900
7039,84253100,اوناش، اخر تعمل بمحرك كهربائى,دول اوروبا عدا دول الاتحاد الأوروبي,0,73,1566,0,36,784,0,109,2350,Europe not European Union,OTHER WINCHES POWERED BY ELECTRIC MOTOR,84253100
7040,84253100,اوناش، اخر تعمل بمحرك كهربائى,مجموعات دول آخرى,0,0,0,0,7,169,0,7,169,Other Country Groups,OTHER WINCHES POWERED BY ELECTRIC MOTOR,84253100
7041,84253900,غيرها من اوناش، ورحويات(روافع ذات اسطونات افقى اوعمودى)ـ,دول اوروبا عدا دول الاتحاد الأوروبي,0,0,0,0,30,4850,0,30,4850,Europe not European Union,OTHER WINCHES AND CAPSTANS,84253900
7042,84253900,غيرها من اوناش، ورحويات(روافع ذات اسطونات افقى اوعمودى)ـ,مجموعات دول آخرى,0,0,0,0,43,120,0,43,120,Other Country Groups,OTHER WINCHES AND CAPSTANS,84253900
7043,84254100,اجهزه مرفاعيه داخليه ثابته تستخدم فى كراجات السيارات,مجموعات دول آخرى,0,0,0,0,4,25,0,4,25,Other Country Groups,BUILT-IN JACKING SYSTEMS USED IN GARAGES,84254100
7044,84254200,روافع ( عفريتات )ـ  وروافع اخر ، هيدروليكيه,مجموعات دول آخرى,0,0,0,0,20,470,0,20,471,Other Country Groups,"OTHER JACKS AND HOISTS, HYDRAULIC",84254200
7045,84254900,غيرها من روافع ( عفريتات )ـ,مجموعات دول آخرى,0,0,0,0,34,179,0,34,179,Other Country Groups,OTHER JACKS,84254900
