
"Paid Bill";"Due On";"Billed Amount";"Already Paid";"Currency";"Status";"Payment Method"
"207191688  EXPORT";"Feb 23, 2021";9,068.72;9,068.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207515383  EXPORT";"Jan 16, 2021";3,962.64;3,962.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207515383  EXPORT";"Jan 19, 2021";240.00;240.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207287087  EXPORT";"Feb 23, 2021";8,805.52;8,805.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207267304  EXPORT";"Feb 21, 2021";9,557.52;9,557.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207209181  EXPORT";"Feb 16, 2021";6,222.40;6,222.40;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207202323  EXPORT";"Feb 21, 2021";8,147.52;8,147.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207262081  EXPORT";"Feb 23, 2021";8,711.52;8,711.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207282704  EXPORT";"Feb 23, 2021";8,805.52;8,805.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207286439  EXPORT";"Feb 23, 2021";8,805.52;8,805.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207197775  EXPORT";"Feb 21, 2021";8,147.52;8,147.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207287087  EXPORT";"Feb 4, 2021";1,000.00;1,000.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207267304  EXPORT";"Feb 4, 2021";200.00;200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207286439  EXPORT";"Feb 4, 2021";200.00;200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207515383  S_EXP?CREDIT";"Oct 27, 2021";-240.00;-240.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
