,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
780,22029060,0,481,997,"African not Arabic,not Islamic","BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
781,22029060,0,286,687,European Union,"BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
782,22029070,0,5034,15240,Other Arab League Countries,"NON ALCOHOLIC BEER, TRANSFORMED ITEM FROM 22030020",22029070
783,22029090,0,2216,8325,Gulf Cooperation Council,OTHER FLAVORED NON-ALCOHOLIC DRINKS,22029090
784,22029090,0,21007,44052,Other Arab League Countries,OTHER FLAVORED NON-ALCOHOLIC DRINKS,22029090
785,22029090,0,2149,6080,Islamic not Arabic countries,OTHER FLAVORED NON-ALCOHOLIC DRINKS,22029090
786,22029090,0,120,1139,"Asian not Arabic ,not Islamic",OTHER FLAVORED NON-ALCOHOLIC DRINKS,22029090
787,22072019,0,132,685,Gulf Cooperation Council,OTHER INACTIVE ETHYL ALCOHOL,22072019
788,22090010,0,553,1913,Gulf Cooperation Council,VINEGAR,22090010
789,22090010,0,1029,2114,Other Arab League Countries,VINEGAR,22090010
790,23050000,0,133,585,"African not Arabic,not Islamic","OIL-CAKE AND OTHER SOLID RESIDUES, FROM GROUND-NUT OIL",23050000
791,23099010,0,396,1468,Gulf Cooperation Council,FISH AND ORNAMENTAL BIRD FOOD,23099010
792,23099010,0,4445,10014,Other Arab League Countries,FISH AND ORNAMENTAL BIRD FOOD,23099010
793,23099010,0,256,672,Islamic not Arabic countries,FISH AND ORNAMENTAL BIRD FOOD,23099010
794,23099010,0,307,1426,"African not Arabic,not Islamic",FISH AND ORNAMENTAL BIRD FOOD,23099010
795,23099020,0,43,485,Gulf Cooperation Council,POULTRY FOOD,23099020
796,23099020,0,3474,2013,Islamic not Arabic countries,POULTRY FOOD,23099020
797,23099020,0,384,977,"African not Arabic,not Islamic",POULTRY FOOD,23099020
798,23099031,0,4618,2857,Gulf Cooperation Council,SALT STONES INCLUDING FOOD STUFFS .,23099031
799,23099031,0,482,579,Other Arab League Countries,SALT STONES INCLUDING FOOD STUFFS .,23099031
800,23099039,0,450,501,Gulf Cooperation Council,OTHER FODDERS FOR ANIMALS,23099039
801,23099039,0,502,913,Other Arab League Countries,OTHER FODDERS FOR ANIMALS,23099039
802,23099039,0,324,1478,"African not Arabic,not Islamic",OTHER FODDERS FOR ANIMALS,23099039
803,23099050,0,469,2609,Gulf Cooperation Council,CONCENTRATED PREPARATIONS FOR THE FORAGE INDUSTRY,23099050
804,23099090,0,1430,6020,Gulf Cooperation Council,OTHER ANIMAL FEEDS,23099090
805,23099090,0,68,476,Other Arab League Countries,OTHER ANIMAL FEEDS,23099090
806,23099090,0,5920,11110,Islamic not Arabic countries,OTHER ANIMAL FEEDS,23099090
807,23099090,0,13758,30228,"Asian not Arabic ,not Islamic",OTHER ANIMAL FEEDS,23099090
808,24039940,0,175,3834,Other Arab League Countries,JIRAK,24039940
809,25010010,0,325,405,Gulf Cooperation Council,COMMON SALT (TABLE SALT),25010010
810,25010010,0,862,714,Other Arab League Countries,COMMON SALT (TABLE SALT),25010010
811,25010020,0,224170,48993,Gulf Cooperation Council,DENATURED SALT UNFIT FOR HUMAN CONSUMPTION,25010020
812,25010030,0,2888,1752,Other Arab League Countries,PURE SODIUM CHLORIDE,25010030
813,25010090,0,3840,3249,Gulf Cooperation Council,OTHER SALTS OR SEA WATER,25010090
814,25010090,0,5985,4085,Other Arab League Countries,OTHER SALTS OR SEA WATER,25010090
815,25030000,0,41830,26033,Other Arab League Countries,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
816,25030000,0,3908,3358,Islamic not Arabic countries,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
817,25030000,0,67910,38429,"Asian not Arabic ,not Islamic","SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
818,25030000,0,7476,9252,"African not Arabic,not Islamic","SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
819,25030000,0,3434,3157,Australia and Oceania,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
820,25030000,0,2220,2080,South America,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
821,25030000,0,5784,5912,European Union,"SULPHUR EXCEPT SUBLIMED, PRECIPITATED OR COLLOIDAL",25030000
822,25051000,0,456636,49948,Gulf Cooperation Council,SILICA SANDS AND QUARTZ SANDS,25051000
823,25051000,0,2531,1120,"Asian not Arabic ,not Islamic",SILICA SANDS AND QUARTZ SANDS,25051000
824,25059000,0,145518,42184,Gulf Cooperation Council,OTHER NATURAL SANDS,25059000
825,25059000,0,385,360,Other Arab League Countries,OTHER NATURAL SANDS,25059000
826,25059000,0,610,357,Islamic not Arabic countries,OTHER NATURAL SANDS,25059000
827,25059000,0,22843,8647,"Asian not Arabic ,not Islamic",OTHER NATURAL SANDS,25059000
828,25070090,0,143,909,"Asian not Arabic ,not Islamic",OTHER KAOLIN CLAYS,25070090
829,25083000,0,1095,3225,Gulf Cooperation Council,FIRE-CLAY,25083000
830,25132010,0,414,1738,Gulf Cooperation Council,EMERY,25132010
831,25174100,0,302,2111,Other Arab League Countries,MARBLE GRANULES AND STONES,25174100
832,25191000,0,21905,1648,Gulf Cooperation Council,NATURAL MAGNESIUM CARBONATE (MAGNESITE),25191000
833,25199010,0,929,1523,Gulf Cooperation Council,SODIUM CHLORIDE PURE,25199010
834,25199010,0,166,515,Other Arab League Countries,SODIUM CHLORIDE PURE,25199010
835,25199010,0,803,1273,"Asian not Arabic ,not Islamic",SODIUM CHLORIDE PURE,25199010
836,25199010,0,4118,6857,"African not Arabic,not Islamic",SODIUM CHLORIDE PURE,25199010
837,25199010,0,272,485,Australia and Oceania,SODIUM CHLORIDE PURE,25199010
838,25199010,0,17567,28536,European Union,SODIUM CHLORIDE PURE,25199010
839,25199090,0,376,331,Gulf Cooperation Council,Other Sodium Chloride Pure,25199090
840,25199090,0,1249,1604,"Asian not Arabic ,not Islamic",Other Sodium Chloride Pure,25199090
841,25199090,0,695,1134,"African not Arabic,not Islamic",Other Sodium Chloride Pure,25199090
842,25199090,0,1528,2268,European Union,Other Sodium Chloride Pure,25199090
843,25201010,0,64615,10677,Gulf Cooperation Council,GYPSUM,25201010
844,25201010,0,66952,13609,Other Arab League Countries,GYPSUM,25201010
845,25201010,0,1086,438,"Asian not Arabic ,not Islamic",GYPSUM,25201010
846,25202090,0,12329,2593,Gulf Cooperation Council,OTHER PLASTERS,25202090
847,25202090,0,2327,411,Other Arab League Countries,OTHER PLASTERS,25202090
848,25210000,0,33781,10103,Gulf Cooperation Council,LIMESTONE FLUX; LIMESTONE AND SIMILAR STONE,25210000
849,25221000,0,47129,15825,Gulf Cooperation Council,QUICKLIME,25221000
850,25232910,0,357778,88074,Gulf Cooperation Council,PORTLAND CEMENT,25232910
851,25232990,0,186283,45106,Gulf Cooperation Council,OTHER CEMENT,25232990
852,25262020,0,3989,2359,Gulf Cooperation Council,"TALC, CRUSHED",25262020
853,25262020,0,389,445,Other Arab League Countries,"TALC, CRUSHED",25262020
854,25291000,0,2744,9138,Gulf Cooperation Council,FELSPAR,25291000
855,26030000,0,39000,216616,"Asian not Arabic ,not Islamic",COPPER ORES AND CONCENTRATES,26030000
856,26030000,0,1998,21003,South America,COPPER ORES AND CONCENTRATES,26030000
857,26030000,0,2337,21631,European Union,COPPER ORES AND CONCENTRATES,26030000
858,26080000,0,39277,143310,"Asian not Arabic ,not Islamic",ZINC ORES AND CONCENTRATES,26080000
859,26190000,0,68666,9836,"Asian not Arabic ,not Islamic","SLAG, DROSS AND OTHER IRON AND STEEL WASTE",26190000
860,26190000,0,15000,4219,European Union,"SLAG, DROSS AND OTHER IRON AND STEEL WASTE",26190000
861,26201900,0,173,579,Gulf Cooperation Council,OTHER ZINC RESIDUES,26201900
862,26201900,0,249,1886,"African not Arabic,not Islamic",OTHER ZINC RESIDUES,26201900
863,26201900,0,59,323,European Union,OTHER ZINC RESIDUES,26201900
864,26204000,0,429,4324,Other Arab League Countries,RESIDUES CONTAINING MAINLY ALUMINIUM,26204000
865,26219000,0,1217,70803,European Union,OTHER ASHES AND REMAINS FROM BURNING THE GARBAGE,26219000
866,27073000,0,89,463,Gulf Cooperation Council,XYLOLE,27073000
867,27073000,0,60700,307973,Islamic not Arabic countries,XYLOLE,27073000
868,27073000,0,258150,1334114,"Asian not Arabic ,not Islamic",XYLOLE,27073000
869,27075000,0,691147,2116902,Gulf Cooperation Council,OTHER AROMATIC HYDROCARBON MIXTURES,27075000
870,27079900,0,144639,83083,Gulf Cooperation Council,OTHER OILS AND PRODUCTS FROM COAL TARS,27079900
871,27079900,0,2150,7337,Islamic not Arabic countries,OTHER OILS AND PRODUCTS FROM COAL TARS,27079900
872,27079900,0,1141,1485,North America,OTHER OILS AND PRODUCTS FROM COAL TARS,27079900
873,27090000,0,10358796,27900302,Gulf Cooperation Council,CRUDE PETROLEUM OILS,27090000
874,27090000,0,5903373,15976493,Other Arab League Countries,CRUDE PETROLEUM OILS,27090000
875,27090000,0,13454997,36222291,Islamic not Arabic countries,CRUDE PETROLEUM OILS,27090000
876,27090000,0,207936436,551016494,"Asian not Arabic ,not Islamic",CRUDE PETROLEUM OILS,27090000
877,27090000,0,6876080,18239857,"African not Arabic,not Islamic",CRUDE PETROLEUM OILS,27090000
878,27090000,0,290110,718402,Australia and Oceania,CRUDE PETROLEUM OILS,27090000
879,27090000,0,62625284,163298333,North America,CRUDE PETROLEUM OILS,27090000
880,27090000,0,3427842,9147249,South America,CRUDE PETROLEUM OILS,27090000
881,27090000,0,45319232,116207854,European Union,CRUDE PETROLEUM OILS,27090000
882,27101111,0,33801,84160,Gulf Cooperation Council,LIGHT NAPHTHA,27101111
883,27101111,0,30256,104666,"Asian not Arabic ,not Islamic",LIGHT NAPHTHA,27101111
884,27101113,0,122795,476909,Gulf Cooperation Council,REFORMED NAPHTHA,27101113
885,27101121,0,1325815,4245688,Gulf Cooperation Council,ENGINE  GASOLINE,27101121
886,27101122,0,553439,1725551,Gulf Cooperation Council,JET AIRPLANE FUEL,27101122
887,27101122,0,54450,131683,Other Arab League Countries,JET AIRPLANE FUEL,27101122
888,27101122,0,77773,249544,Islamic not Arabic countries,JET AIRPLANE FUEL,27101122
