,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15448,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,9.58,0.236552,9.58,0.236552
15449,,,,,,,,دول افريقية عدا العربية والاسلامية,"AFRICAN NOT ARABIC,NOT ISLAMIC",,68,2.074774,0,0,68,2.074774
15450,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,0.23,0.134823,0.23,0.134823
15451,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,268.194,11.501959,41.65,0.495,309.844,11.996958999999999
15452,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.09,1.230107,0.09,1.230107
15453,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,183.3,6.445635,813.581,7.992372,996.8810000000001,14.438006999999999
15454,,,,,85021300,مجموعات توليد تشعل بالضغط تزيد قدرتها عن 375 ك/ف/ا,"GENERATING SETS OF COMPRESSION ENGINES, OVER 375 KVA",,,,162.8,4.421081,2483.804,37.479839999999996,2646.6040000000003,41.900921
15455,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,11.554,0.563763,11.554,0.563763
15456,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,60,0.25287,60,0.25287
15457,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,249.22,2.543567,249.22,2.543567
15458,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,162.8,4.421081,2163.03,34.11964,2325.8300000000004,38.540721
15459,,,,,85022000,مجموعات توليد بمحركات مكبسيه يتم الاشتعال فيها بالشرر,GENERATING SETS WITH SPARK-IGNITION PISTON ENGINES,,,,0,0,84.357,0.30171800000000004,84.357,0.30171800000000004
15460,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,0.224,0.065,0.224,0.065
15461,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,1.818,0.049995,1.818,0.049995
15462,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.043,0.014793,0.043,0.014793
15463,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,82.272,0.17193,82.272,0.17193
15464,,,,,85023900,غيرها من مجموعات توليد أخر,OTHER GROUPS OF GENERATORS,,,,53.871,2.234692,166.632,1.539063,220.50300000000001,3.773755
15465,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,3,0.014,3,0.014
