,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3628,0,8,9,"African not Arabic,not Islamic",OTHER DRAWN OR BLOWN GLASS,70049000
3629,0,7,9,North America,OTHER DRAWN OR BLOWN GLASS,70049000
3630,0,8,9,South America,OTHER DRAWN OR BLOWN GLASS,70049000
3631,0,16,18,European Union,OTHER DRAWN OR BLOWN GLASS,70049000
3632,0,0,0,Other Country Groups,OTHER DRAWN OR BLOWN GLASS,70049000
3633,0,3,5,Gulf Cooperation Council,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3634,0,65,75,Other Arab League Countries,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3635,0,7,8,Islamic not Arabic countries,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3636,0,5,6,"Asian not Arabic ,not Islamic",NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3637,0,6,7,"African not Arabic,not Islamic",NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3638,0,6,11,North America,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3639,0,9,13,South America,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3640,0,9,11,European Union,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3641,0,0,0,Other Country Groups,NON-WIRED FLOAT GLASS WITH REFLECTING LAYER,70051000
3642,0,1,1,Other Country Groups,COLORED NON-WIRED FLOAT GLASS,70052100
3643,0,25,59,Gulf Cooperation Council,OTHER NON-WIRED FLOAT GLASS,70052900
3644,0,19,25,Other Arab League Countries,OTHER NON-WIRED FLOAT GLASS,70052900
3645,0,3,3,Islamic not Arabic countries,OTHER NON-WIRED FLOAT GLASS,70052900
3646,0,7,8,"Asian not Arabic ,not Islamic",OTHER NON-WIRED FLOAT GLASS,70052900
3647,0,9,10,"African not Arabic,not Islamic",OTHER NON-WIRED FLOAT GLASS,70052900
3648,0,2,7,Australia and Oceania,OTHER NON-WIRED FLOAT GLASS,70052900
3649,0,3,4,North America,OTHER NON-WIRED FLOAT GLASS,70052900
3650,0,2,2,South America,OTHER NON-WIRED FLOAT GLASS,70052900
3651,0,1,1,European Union,OTHER NON-WIRED FLOAT GLASS,70052900
3652,0,2,2,Other Arab League Countries,"CAST, DRAWN OR FLOAT GLASS, WORKED",70060000
3653,0,1,1,"Asian not Arabic ,not Islamic","CAST, DRAWN OR FLOAT GLASS, WORKED",70060000
3654,0,1,1,Other Country Groups,"CAST, DRAWN OR FLOAT GLASS, WORKED",70060000
